year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate
2014,1,1,,209.712,citations=289; influential=33; recognized venue; review/survey; BCI term matches=1; title BCI matches=1; open PDF metadata,26de07816484ade2963bbb7c0ff492179ef6b8c4,Errare machinale est: the use of error-related potentials in brain-machine interfaces,"Ricardo Chavarriaga, A. Sobolewski, J. Millán",Frontiers in Neuroscience,2014-07-22,289,33,Invasive and Implantable Interfaces,"The ability to recognize errors is crucial for efficient behavior. Numerous studies have identified electrophysiological correlates of error recognition in the human brain (error-related potentials, ErrPs). Consequently, it has been proposed to use these signals to improve human-computer interaction (HCI) or brain-machine interfacing (BMI). Here, we present a review of over a decade of developments toward this goal. This body of work provides consistent evidence that ErrPs can be successfully detected on a single-trial basis, and that they can be effectively used in both HCI and BMI applications. We first describe the ErrP phenomenon and follow up with an analysis of different strategies to increase the robustness of a system by incorporating single-trial ErrP recognition, either by correcting the machine's actions or by providing means for its error-based adaptation. These approaches can be applied both when the user employs traditional HCI input devices or in combination with another BMI channel. Finally, we discuss the current challenges that have to be overcome in order to fully integrate ErrPs into practical applications. This includes, in particular, the characterization of such signals during real(istic) applications, as well as the possibility of extracting richer information from them, going beyond the time-locked decoding that dominates current approaches.",10.3389/fnins.2014.00208,,25100937,https://doi.org/10.3389/fnins.2014.00208,https://www.semanticscholar.org/paper/26de07816484ade2963bbb7c0ff492179ef6b8c4,https://www.frontiersin.org/articles/10.3389/fnins.2014.00208/pdf,Computer Science; Engineering; Medicine,True
2014,2,2,,208.501,citations=451; influential=18; recognized venue; clinical/rehab relevance; BCI term matches=2; title BCI matches=1; open PDF metadata,1eac72e897b5794c150ec50d1c352eca50cd48b6,Brain-Computer Interfaces Using Sensorimotor Rhythms: Current State and Future Perspectives,"Han Yuan, B. He",IEEE Transactions on Biomedical Engineering,2014-03-19,451,18,Motor Imagery and Movement Decoding,"Many studies over the past two decades have shown that people can use brain signals to convey their intent to a computer using brain-computer interfaces (BCIs). BCI systems extract specific features of brain activity and translate them into control signals that drive an output. Recently, a category of BCIs that are built on the rhythmic activity recorded over the sensorimotor cortex, i.e., the sensorimotor rhythm (SMR), has attracted considerable attention among the BCIs that use noninvasive neural recordings, e.g., electroencephalography (EEG), and have demonstrated the capability of multidimensional prosthesis control. This paper reviews the current state and future perspectives of SMR-based BCI and its clinical applications, in particular focusing on the EEG SMR. The characteristic features of SMR from the human brain are described and their underlying neural sources are discussed. The functional components of SMR-based BCI, together with its current clinical applications, are reviewed. Finally, limitations of SMR-BCIs and future outlooks are also discussed.",10.1109/TBME.2014.2312397,,24759276,https://doi.org/10.1109/TBME.2014.2312397,https://www.semanticscholar.org/paper/1eac72e897b5794c150ec50d1c352eca50cd48b6,https://europepmc.org/articles/pmc4082720?pdf=render,Computer Science; Medicine; Psychology,True
2014,3,3,,207.917,citations=359; influential=19; recognized venue; clinical/rehab relevance; invasive/high-bandwidth BCI; BCI term matches=1; title BCI matches=1; open PDF metadata,8ef38d89080f639fcb493ec37ca04ea6b6c7f6dc,Restoring sensorimotor function through intracortical interfaces: progress and looming challenges,"S. Bensmaia, L. Miller",Nature Reviews Neuroscience,2014-04-17,359,19,Motor Imagery and Movement Decoding,"The loss of a limb or paralysis resulting from spinal cord injury has devastating consequences on quality of life. One approach to restoring lost sensory and motor abilities in amputees and patients with tetraplegia is to supply them with implants that provide a direct interface with the CNS. Such brain–machine interfaces might enable a patient to exert voluntary control over a prosthetic or robotic limb or over the electrically induced contractions of paralysed muscles. A parallel interface could convey sensory information about the consequences of these movements back to the patient. Recent developments in the algorithms that decode motor intention from neuronal activity and in approaches to convey sensory feedback by electrically stimulating neurons, using biomimetic and adaptation-based approaches, have shown the promise of invasive interfaces with sensorimotor cortices, although substantial challenges remain.",10.1038/nrn3724,,24739786,https://doi.org/10.1038/nrn3724,https://www.semanticscholar.org/paper/8ef38d89080f639fcb493ec37ca04ea6b6c7f6dc,,Engineering; Medicine; Psychology,True
2014,4,4,,201.033,citations=325; influential=29; clinical/rehab relevance; BCI term matches=3; title BCI matches=1; open PDF metadata,48709c76592698720efa8d39f5b1b27199ee9121,Brain-computer interface-based robotic end effector system for wrist and hand rehabilitation: results of a three-armed randomized controlled trial for chronic stroke,"K. Ang, Cuntai Guan, K. Phua, C. Wang, Longjiang Zhou, K. Tang, et al.",Frontiers in Neuroengineering,2014-07-29,325,29,Motor Imagery and Movement Decoding,"The objective of this study was to investigate the efficacy of an Electroencephalography (EEG)-based Motor Imagery (MI) Brain-Computer Interface (BCI) coupled with a Haptic Knob (HK) robot for arm rehabilitation in stroke patients. In this three-arm, single-blind, randomized controlled trial; 21 chronic hemiplegic stroke patients (Fugl-Meyer Motor Assessment (FMMA) score 10–50), recruited after pre-screening for MI BCI ability, were randomly allocated to BCI-HK, HK or Standard Arm Therapy (SAT) groups. All groups received 18 sessions of intervention over 6 weeks, 3 sessions per week, 90 min per session. The BCI-HK group received 1 h of BCI coupled with HK intervention, and the HK group received 1 h of HK intervention per session. Both BCI-HK and HK groups received 120 trials of robot-assisted hand grasping and knob manipulation followed by 30 min of therapist-assisted arm mobilization. The SAT group received 1.5 h of therapist-assisted arm mobilization and forearm pronation-supination movements incorporating wrist control and grasp-release functions. In all, 14 males, 7 females, mean age 54.2 years, mean stroke duration 385.1 days, with baseline FMMA score 27.0 were recruited. The primary outcome measure was upper extremity FMMA scores measured mid-intervention at week 3, end-intervention at week 6, and follow-up at weeks 12 and 24. Seven, 8 and 7 subjects underwent BCI-HK, HK and SAT interventions respectively. FMMA score improved in all groups, but no intergroup differences were found at any time points. Significantly larger motor gains were observed in the BCI-HK group compared to the SAT group at weeks 3, 12, and 24, but motor gains in the HK group did not differ from the SAT group at any time point. In conclusion, BCI-HK is effective, safe, and may have the potential for enhancing motor recovery in chronic stroke when combined with therapist-assisted arm mobilization.",10.3389/fneng.2014.00030,,25120465,https://doi.org/10.3389/fneng.2014.00030,https://www.semanticscholar.org/paper/48709c76592698720efa8d39f5b1b27199ee9121,https://www.frontiersin.org/articles/10.3389/fneng.2014.00030/pdf,Engineering; Medicine,True
2014,5,5,,195.647,citations=311; influential=20; recognized venue; BCI term matches=1; title BCI matches=1; open PDF metadata,f88da04b87daada14ee9b63ced185d54367aefaa,Robust artifactual independent component classification for BCI practitioners,"I. Winkler, Stephanie Brandl, F. Horn, Eric Waldburger, C. Allefeld, M. Tangermann",Journal of Neural Engineering,2014-05-19,311,20,Motor Imagery and Movement Decoding,"Objective. EEG artifacts of non-neural origin can be separated from neural signals by independent component analysis (ICA). It is unclear (1) how robustly recently proposed artifact classifiers transfer to novel users, novel paradigms or changed electrode setups, and (2) how artifact cleaning by a machine learning classifier impacts the performance of brain–computer interfaces (BCIs). Approach. Addressing (1), the robustness of different strategies with respect to the transfer between paradigms and electrode setups of a recently proposed classifier is investigated on offline data from 35 users and 3 EEG paradigms, which contain 6303 expert-labeled components from two ICA and preprocessing variants. Addressing (2), the effect of artifact removal on single-trial BCI classification is estimated on BCI trials from 101 users and 3 paradigms. Main results. We show that (1) the proposed artifact classifier generalizes to completely different EEG paradigms. To obtain similar results under massively reduced electrode setups, a proposed novel strategy improves artifact classification. Addressing (2), ICA artifact cleaning has little influence on average BCI performance when analyzed by state-of-the-art BCI methods. When slow motor-related features are exploited, performance varies strongly between individuals, as artifacts may obstruct relevant neural activity or are inadvertently used for BCI control. Significance. Robustness of the proposed strategies can be reproduced by EEG practitioners as the method is made available as an EEGLAB plug-in.",10.1088/1741-2560/11/3/035013,,24836294,https://doi.org/10.1088/1741-2560/11/3/035013,https://www.semanticscholar.org/paper/f88da04b87daada14ee9b63ced185d54367aefaa,https://iopscience.iop.org/article/10.1088/1741-2560/11/3/035013/pdf,Computer Science; Medicine; Physics,True
2014,6,6,,191.175,citations=225; influential=19; recognized venue; BCI term matches=2; title BCI matches=2; open PDF metadata,6828b1582a7510c0b3fd6c269cf6e71316fa2b76,Multivariate synchronization index for frequency recognition of SSVEP-based brain-computer interface.,"Yangsong Zhang, Peng Xu, Kaiwen Cheng, D. Yao",Journal of Neuroscience Methods,2014-01-15,225,19,"SSVEP, P300, and ERP Spellers",,10.1016/j.jneumeth.2013.07.018,,23928153,https://doi.org/10.1016/j.jneumeth.2013.07.018,https://www.semanticscholar.org/paper/6828b1582a7510c0b3fd6c269cf6e71316fa2b76,,Computer Science; Medicine,True
2014,7,7,,188.811,citations=257; influential=25; BCI term matches=2; title BCI matches=2; open PDF metadata,2e7b7e806b14a2703c4600643bf9d16f5acf85b9,A high-ITR SSVEP-based BCI speller,"Xiaogang Chen, Zhikai Chen, Shangkai Gao, Xiaorong Gao",,2014-12-22,257,25,"SSVEP, P300, and ERP Spellers",,10.1080/2326263X.2014.944469,,,https://doi.org/10.1080/2326263X.2014.944469,https://www.semanticscholar.org/paper/2e7b7e806b14a2703c4600643bf9d16f5acf85b9,,Computer Science; Engineering,True
2014,8,8,,188.465,citations=279; influential=18; review/survey; BCI term matches=1; title BCI matches=1; open PDF metadata,fb32a444b13c6095778bcad6700c1c92edb16842,"A survey of affective brain computer interfaces: principles, state-of-the-art, and challenges","C. Mühl, B. Allison, A. Nijholt, G. Chanel",,2014-05-22,279,18,"Hybrid, Affective, and Closed-loop BCIs",,10.1080/2326263X.2014.912881,,,https://doi.org/10.1080/2326263X.2014.912881,https://www.semanticscholar.org/paper/fb32a444b13c6095778bcad6700c1c92edb16842,https://ris.utwente.nl/ws/files/6779147/bci-j-survey-2014.pdf,Computer Science; Psychology,True
2014,9,9,,185.982,citations=206; influential=10; recognized venue; clinical/rehab relevance; invasive/high-bandwidth BCI; BCI term matches=3; open PDF metadata,b91dbeae730c7f779ba52e90b301d5424f333239,Conscious Brain-to-Brain Communication in Humans Using Non-Invasive Technologies,"C. Grau, R. Ginhoux, Alejandro Riera, Thanh Nguyen, Hubert Chauvat, Michel Berg, et al.",PLoS ONE,2014-08-19,206,10,Motor Imagery and Movement Decoding,"Human sensory and motor systems provide the natural means for the exchange of information between individuals, and, hence, the basis for human civilization. The recent development of brain-computer interfaces (BCI) has provided an important element for the creation of brain-to-brain communication systems, and precise brain stimulation techniques are now available for the realization of non-invasive computer-brain interfaces (CBI). These technologies, BCI and CBI, can be combined to realize the vision of non-invasive, computer-mediated brain-to-brain (B2B) communication between subjects (hyperinteraction). Here we demonstrate the conscious transmission of information between human brains through the intact scalp and without intervention of motor or peripheral sensory systems. Pseudo-random binary streams encoding words were transmitted between the minds of emitter and receiver subjects separated by great distances, representing the realization of the first human brain-to-brain interface. In a series of experiments, we established internet-mediated B2B communication by combining a BCI based on voluntary motor imagery-controlled electroencephalographic (EEG) changes with a CBI inducing the conscious perception of phosphenes (light flashes) through neuronavigated, robotized transcranial magnetic stimulation (TMS), with special care taken to block sensory (tactile, visual or auditory) cues. Our results provide a critical proof-of-principle demonstration for the development of conscious B2B communication technologies. More fully developed, related implementations will open new research venues in cognitive, social and clinical neuroscience and the scientific study of consciousness. We envision that hyperinteraction technologies will eventually have a profound impact on the social structure of our civilization and raise important ethical issues.",10.1371/journal.pone.0105225,,25137064,https://doi.org/10.1371/journal.pone.0105225,https://www.semanticscholar.org/paper/b91dbeae730c7f779ba52e90b301d5424f333239,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0105225&type=printable,Biology; Computer Science; Engineering; Medicine; Psychology,True
2014,10,10,,185.136,citations=209; influential=18; recognized venue; BCI term matches=1; title BCI matches=1; open PDF metadata,902b55a91888714c92c279ba70994636012003d1,Enhanced Low-Latency Detection of Motor Intention From EEG for Closed-Loop Brain-Computer Interface Applications,"Ren Xu, N. Jiang, Chuang Lin, N. Mrachacz‐Kersting, K. Dremstrup, D. Farina",IEEE Transactions on Biomedical Engineering,2014-02-01,209,18,Motor Imagery and Movement Decoding,,10.1109/TBME.2013.2294203,,24448593,https://doi.org/10.1109/TBME.2013.2294203,https://www.semanticscholar.org/paper/902b55a91888714c92c279ba70994636012003d1,https://www.openaccessrepository.it/record/22526/files/fulltext.pdf,Computer Science; Engineering; Medicine,True
